country,tons
IT,0.26
FR,0.13
RU,0.56
US,1.81
DE,0.12
NL,0.11
MX,2.65
ES,0.39
GB,0.2
CL,3.35
NZ,5.15
HU,0.23
CH,0.08
CA,1.66
DK,0.19
SE,0.33
PT,0.52
PL,0.25
RO,0.4
FI,0.43
AU,4.56
IL,0.82
CZ,0.11
JP,2.56
BE,0.08
AT,0.17
ZA,2.6
HK,2.54
LV,0.35
QA,1.27
KR,2.37
NO,0.31
TW,2.59
SG,2.85
SK,0.18
BR,2.28
TR,0.52
IE,0.3
LU,0.05
IN,1.7
AR,3.18
SI,0.17
CN,2.5
XX,0
YU,0.29
EE,0.41
IS,0.66
CY,0.72
MT,0.46
HR,0.2
AE,1.34
BG,0.39
LB,0.79
SA,1.19
OM,1.44
TH,2.49
VE,2.24
RS,0.29
LT,0.34
UA,0.44
UG,1.66
UY,3.15
CO,2.52
CU,2.25
EG,0.81
IR,1.05
PK,1.51
BD,2.06
DZ,0.43
LK,2.24
MA,0.68
RW,1.7
TN,0.41
BA,0.28
GE,0.81
JM,2.27
KW,1.11
KZ,1.19
LI,0.08
MK,0.37
MO,2.53
NA,2.25
Ou,0.68
PR,2.04
PS,0.82
SO,1.76
TT,2.13
VI,2.02
VN,2.41
GR,0.5
