id,seminar_id,name,affiliation,country
1,01021,Mira Balaban,Ben Gurion University – Beer Sheva,IL
2,01021,Christoph Beierle,FernUniversit\xe4t in Hagen,DE
3,01021,Leopoldo Bertossi,Carleton University – Ottawa,CA
4,01021,Egon B\xf6rger,University of Pisa,IT
5,01021,Harold Boley,University of New Brunswick at Fredericton,CA
6,01021,Stefan Brass,TU Clausthal,DE
7,01021,Fran\xe7ois Bry,LMU M\xfcnchen,DE
8,01021,Hendrik Decker,Universidad Polit\xe9cnica – Valencia,ES
9,01021,Thomas Feyer,BTU Cottbus,DE
10,01021,Burkhard Freitag,Universit\xe4t Passau,DE
11,01021,Floris Geerts,University of Edinburgh,GB
12,01021,Parke Godfrey,College of William and Mary – Williamsburg,US
13,01021,Claudio Gutierrez,University of Chile – Santiago de Chile,CL
14,01021,Sven Hartmann,Universit\xe4t Rostock,DE
15,01021,Stephen J. Hegner,University of Ume\xe5,SE
16,01021,Steffen Jurk,BTU Cottbus,DE
17,01021,Gyula O.H. Katona,Alfr\xe9d R\xe9nyi Institute of Mathematics – Budapest,HU
18,01021,Markus Kirchberg,Massey University,NZ
19,01021,Hans-Joachim Klein,Universit\xe4t Kiel,DE
20,01021,Peter Koepke,Universit\xe4t Bonn,DE
21,01021,Gabriel Kuper,Universit\xe0 di Trento,IT
22,01021,Dietrich Kuske,Universit\xe4t Leipzig,DE
23,01021,Sebastian Link,Massey University,NZ
24,01021,Rainer Manthey,Universit\xe4t Bonn,DE
25,01021,Enric Mayol,UPC – Barcelona,ES
26,01021,Dezs\xf6 Mikl\xf3s,Alfr\xe9d R\xe9nyi Institute of Mathematics – Budapest,HU
27,01021,Oscar Pastor Lopez,Universidad Polit\xe9cnica – Valencia,ES
28,01021,Klaus-Dieter Schewe,Massey University,NZ
29,01021,Thomas Schwentick,TU Dortmund,DE
30,01021,Dietmar Seipel,Universit\xe4t W\xfcrzburg,DE
31,01021,Oleg Seleznjev,University of Ume\xe5,SE
32,01021,Barbara Sprick,TU Dortmund,DE
33,01021,Srinath Srinivasa,BTU Cottbus,DE
34,01021,Bernhard Thalheim,Universit\xe4t Kiel,DE
35,01021,David Toman,University of Waterloo,CA
36,01021,Jose Maria Turull Torres,Universidad Nacional de San Luis,AR
37,01021,Jan Van den Bussche,Hasselt University – Diepenbeek,BE
38,01021,Marcela Varas Contreras,University of Concepci\xf3n,CL
39,01021,Vojtech Vestenicky,BTU Cottbus,DE
40,01021,Gerd Wagner,BTU Cottbus,DE
41,01041,Anneliese Amschler Andrews,Washington State University – Pullman,US
42,01041,Katja Cremer,ERICSSON Eurolab – Herzogenrath,DE
43,01041,Markus D\xf6bele,Merlin Software-Engineering – Baden Baden,DE
44,01041,J\xfcrgen Ebert,Universit\xe4t Koblenz-Landau,DE
45,01041,Rudolf Ferenc,University of Szeged,HU
46,01041,Rainer Gimnich,IBM – Stuttgart,DE
